"feature"
"Arid5b"
"Atf2"
"Bach2"
"Bcl6"
"Bhlhe40"
"Bhlhe41"
"Egr1"
"Egr3"
"Egr4"
"Elk3"
"Elk4"
"Esrrg"
"Fos"
"Fosl2"
"Hlf"
"Irf2"
"Irf3"
"Irf9"
"Junb"
"Klf3"
"Klf8"
"Meis2"
"Neurod2"
"Nfib"
"Nfil3"
"Nr2c2"
"Nr3c1"
"Nr3c2"
"Nr4a1"
"Nr4a2"
"Nrf1"
"Pou2f1"
"Rfx3"
"Rora"
"Smad4"
"Smarca5"
"Tcf12"
"Tfeb"
"Thra"
"Thrb"
"Xbp1"
"Zbtb7a"
"Ctcf"
"Mef2a"
"Mef2b"
"Mef2c"
"Mef2d"
"Jun"
"Sox4"
"Elk1"
"Tef"
"Nr1d1"
"Pou6f1"
"Klf15"
"Esrra"
"Hsf1"
"E2f6"
"Nr2f1"
"Dbp"
"Nfatc3"
"Ctnnb1"
"Rara"
"Runx2"
"Tcf7"
"Lef1"
"Ctnnb1-wt"
"Ctnnb1-d4TCF"
"Foxo4"
