"TF_list_6_nodups"
"Bach2"
"Bcl6"
"Bhlhe40"
"Egr1"
"Egr3"
"Egr4"
"Elk3"
"Elk4"
"Esrrg"
"Fos"
"Fosl2"
"Irf2"
"Irf9"
"Junb"
"Klf3"
"Klf8"
"Meis2"
"Neurod2"
"Nfib"
"Nfil3"
"Nr3c1"
"Nr3c2"
"Nr4a1"
"Nrf1"
"Rora"
"Smad4"
"Smarca5"
"Thra"
"Thrb"
"Ctcf"
"Mef2a"
"Mef2b"
"Mef2c"
"Mef2d"
"Jun"
"Sox4"
"Hlf"
"Elk1"
"Tef"
"Nr1d1"
"Irf3"
"Klf15"
"Esrra"
"E2f6"
"Nr2f1"
