Feature,TP,FP,TN,FN,Accuracy,% Foreground,% Background,Info Gain,Fisher's Exact P-value,Enrichment/Depletion,Avg. Distance of Foreground Occurrence,Avg. Distance of Background Occurrence
Irf9_Irf3,304,512,27566,16638,0.6190581963571746,0.01794357218746311,0.018234917016881545,8.085527035718576e-07,0.8553512997078978,0.9840226950773225,3122565.789473684,3346640.625
Irf9_Irf9,45,73,28005,16897,0.6230564193691692,0.0026561208830126314,0.002599900277797564,2.0434394966753477e-07,0.924355957812866,1.0216241390853242,3406666.6666666665,3374794.520547945
Jun_Arid5b,146,311,27767,16796,0.62001332741004,0.008617636642663204,0.011076287484863594,0.0001041803970570597,0.011595362895909074,0.7780257287868084,3092671.2328767125,3182218.6495176847
Jun_Atf2,309,499,27579,16633,0.619458018658374,0.018238696730020067,0.017771921076999788,2.0885225807364127e-06,0.714245864180727,1.0262647831372813,3219320.3883495145,3201042.084168337
Jun_Bach2,496,825,27253,16446,0.6163705019991115,0.029276354621650336,0.029382434646342333,6.691047236065395e-08,0.9540528060669616,0.996389678868725,3185625,3235454.5454545454
Jun_Bcl6,170,287,27791,16772,0.6210795202132385,0.010034234446936607,0.010221525749697272,5.919440364352685e-07,0.8842821174196911,0.9816767763104044,3156000,3179477.3519163765
Jun_Bhlhe40,172,243,27835,16770,0.6221012883163038,0.01015228426395939,0.008654462568559014,4.108714251291508e-05,0.11451686767204622,1.1730692903845752,3197441.8604651163,3286790.12345679
Jun_Bhlhe41,123,160,27918,16819,0.6228565082185695,0.0072600637469011926,0.0056984115677754825,6.494124540079842e-05,0.04868999427845601,1.274050436784323,3088048.7804878047,3312562.5
Jun_Ctcf,1034,1707,26371,15908,0.6087294535761884,0.06103175540077913,0.06079492841370468,1.6602521643593882e-07,0.9189982196731458,1.0038955056491368,3226798.839458414,3301493.848857645
Jun_Ctnnb1-d4TCF,195,366,27712,16747,0.6198800533096401,0.011509857159721403,0.013035116461286416,3.234975699133516e-05,0.16078589732845378,0.8829884407941463,3201384.6153846155,3318934.426229508
Jun_Ctnnb1-wt,245,408,27670,16697,0.6200577521101732,0.014461102585290993,0.01453094949782748,5.780520248403753e-08,0.967566288275588,0.9951932313475502,3165918.3673469387,3304632.3529411764
Jun_Dbp,77,127,27951,16865,0.6225677476677033,0.004544917955377169,0.004523114181921789,1.7836284663640123e-08,1.0,1.00482052244945,3162077.922077922,3051496.062992126
Jun_E2f6,165,258,27820,16777,0.6216126166148378,0.009739109904379649,0.009188688653037966,5.485408849393095e-06,0.5792080979140442,1.0599020461053168,3305636.3636363638,3323023.2558139535
Jun_Egr1,208,347,27731,16734,0.6205908485117726,0.012277180970369495,0.012358430087613078,9.184073030375772e-08,0.9648525908686892,0.9934256117753161,3328557.6923076925,3254265.1296829972
Jun_Egr3,215,332,27746,16727,0.6210795202132385,0.012690355329949238,0.011824204003134126,1.0523415001503778e-05,0.4243094925821508,1.0732524004648034,3376325.581395349,3281024.0963855423
Jun_Egr4,106,171,27907,16836,0.6222345624167037,0.0062566403022075315,0.006090177363060047,7.655213012320097e-07,0.852014771501318,1.027333019914521,3038207.547169811,3290175.4385964912
Jun_Elk1,98,177,27901,16844,0.6219235895157708,0.005784441034116397,0.0063038677968516275,7.579124466278175e-06,0.5325350256146721,0.9176018946662158,3296020.4081632653,3446271.186440678
Jun_Elk3,97,180,27898,16845,0.6218347401155042,0.005725416125605005,0.006410713013747418,1.3129358532538472e-05,0.3842866281215749,0.8931012998596518,3323505.154639175,3479333.3333333335
Jun_Elk4,82,168,27910,16860,0.6217681030653043,0.004840042497934128,0.005983332146164257,4.083870352063028e-05,0.11658553246075623,0.8089209122440145,3255000,3560892.8571428573
Jun_Esrra,280,441,27637,16662,0.6201021768103065,0.016526974383189705,0.015706246883681173,7.207589273609469e-06,0.5101576980027234,1.052254845195466,3123000,3215782.31292517
Jun_Esrrg,307,463,27615,16635,0.6202132385606397,0.018120646912997286,0.016489778474250302,2.6590675726474722e-05,0.2021352379205316,1.098901779747598,3189967.4267100976,3222116.6306695463
Jun_Fos,372,643,27435,16570,0.6176588183029764,0.021957265966237753,0.02290049148799772,6.8586150842077365e-06,0.5336000905563678,0.9588119965785749,3131935.4838709678,3236687.4027993777
Jun_Fosl2,259,435,27643,16683,0.619768991559307,0.015287451304450477,0.015492556449889594,4.697674918108935e-07,0.8746017540738902,0.9867610522445069,3228532.8185328185,3216689.6551724137
Jun_Foxo4,178,291,27787,16764,0.6211683696135051,0.010506433715027741,0.01036398603889166,3.328702848533205e-07,0.8858083977647105,1.013744487458931,3251460.6741573033,3081340.206185567
Jun_Hlf,186,351,27727,16756,0.62001332741004,0.010978632983118877,0.012500890376807464,3.366107658354413e-05,0.15188966593179465,0.8782280823362161,3215806.4516129033,3218461.5384615385
Jun_Hsf1,783,1347,26731,16159,0.6111505997334518,0.046216503364419785,0.04797350238620984,1.162982128057738e-05,0.4094874515694596,0.9633756358323524,3234099.6168582374,3208730.512249443
Jun_Irf2,169,319,27759,16773,0.6203465126610396,0.009975209538425215,0.011361208063252368,3.0673902095646605e-05,0.173330931692593,0.8780060608774395,3272662.721893491,3153855.799373041
Jun_Irf3,651,1104,26974,16291,0.6136161705908485,0.038425215440916066,0.03931903981765083,3.617127743570092e-06,0.6510325905587395,0.9772673905344578,3279400.9216589862,3273478.2608695654
Jun_Irf9,194,342,27736,16748,0.6203909373611728,0.01145083225121001,0.012180354726120094,7.698867121050737e-06,0.5014250481820055,0.9401066314312125,3289175.2577319588,3240964.9122807016
